순위,곡정보,가수,좋아요,이미지 링크
1,너에게 닿기를,10CM,"59,263",https://cdnimg.melon.co.kr/cm2/album/images/117/30/411/11730411_20250306095101_500.jpg/melon/resize/120/quality/80/optimize
2,like JENNIE,제니 (JENNIE),"76,347",https://cdnimg.melon.co.kr/cm2/album/images/117/30/946/11730946_20250307173452_500.jpg/melon/resize/120/quality/80/optimize
3,Drowning,WOODZ,"189,481",https://cdnimg.melon.co.kr/cm2/album/images/111/83/506/11183506_20230426141236_500.jpg/melon/resize/120/quality/80/optimize
4,모르시나요(PROD.로코베리),조째즈,"70,136",https://cdnimg.melon.co.kr/cm2/album/images/116/85/729/11685729_20250106160640_500.jpg/melon/resize/120/quality/80/optimize
5,TOO BAD (feat. Anderson .Paak),G-DRAGON,"146,235",https://cdnimg.melon.co.kr/cm2/album/images/117/22/169/11722169_20250224160403_500.jpg/melon/resize/120/quality/80/optimize
6,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"211,593",https://cdnimg.melon.co.kr/cm2/album/images/116/47/670/11647670_20241121150855_500.jpg/melon/resize/120/quality/80/optimize
7,Whiplash,aespa,"132,648",https://cdnimg.melon.co.kr/cm2/album/images/116/20/540/11620540_20241018183208_500.jpg/melon/resize/120/quality/80/optimize
8,나는 반딧불,황가람,"141,245",https://cdnimg.melon.co.kr/cm2/album/images/116/20/541/11620541_20241018183253_500.jpg/melon/resize/120/quality/80/optimize
9,REBEL HEART,IVE (아이브),"98,480",https://cdnimg.melon.co.kr/cm2/album/images/116/89/783/11689783_20250203110601_500.jpg/melon/resize/120/quality/80/optimize
10,Flower,오반(OVAN),"42,974",https://cdnimg.melon.co.kr/cm2/album/images/117/32/247/11732247_20250313092931_500.jpg/melon/resize/120/quality/80/optimize
11,어제보다 슬픈 오늘,우디 (Woody),"19,499",https://cdnimg.melon.co.kr/cm2/album/images/117/56/010/11756010_20250331135525_500.jpg/melon/resize/120/quality/80/optimize
12,오늘만 I LOVE YOU,BOYNEXTDOOR,"141,168",https://cdnimg.melon.co.kr/cm2/album/images/116/85/070/11685070_20250106111631_500.jpg/melon/resize/120/quality/80/optimize
13,HAPPY,DAY6 (데이식스),"189,195",https://cdnimg.melon.co.kr/cm2/album/images/114/44/397/11444397_20240318115810_500.jpg/melon/resize/120/quality/80/optimize
14,HOT,LE SSERAFIM (르세라핌),"35,067",https://cdnimg.melon.co.kr/cm2/album/images/117/38/155/11738155_20250314101906_500.jpg/melon/resize/120/quality/80/optimize
15,APT.,로제 (ROSÉ),"211,854",https://cdnimg.melon.co.kr/cm2/album/images/116/19/809/11619809_20241018103507_500.jpg/melon/resize/120/quality/80/optimize
16,ATTITUDE,IVE (아이브),"56,744",https://cdnimg.melon.co.kr/cm2/album/images/116/89/783/11689783_20250203110601_500.jpg/melon/resize/120/quality/80/optimize
17,한 페이지가 될 수 있게,DAY6 (데이식스),"351,634",https://cdnimg.melon.co.kr/cm/album/images/103/07/346/10307346_500.jpg/melon/resize/120/quality/80/optimize
18,toxic till the end,로제 (ROSÉ),"111,209",https://cdnimg.melon.co.kr/cm2/album/images/116/59/696/11659696_20241205141243_500.jpg/melon/resize/120/quality/80/optimize
